,CitingAffiliatoinId,CitedAffiliatoinId,type_1,year_citing,year_cited,type_2,type_3,type_4
88,8692664,136199984,2,1990,1990,1,1.0,1.0
89,9364636,200719446,2,1990,1990,1,1.0,2.0
90,10052268,161318765,6,1990,1990,1,6.0,6.0
91,10052268,1286329397,1,1990,1990,1,0.5,0.3333333333333333
92,10052268,1344073410,2,1990,1990,1,2.0,2.0
93,11006740,11006740,24,1990,1990,2,7.0,24.0
94,11912373,11912373,50,1990,1990,4,13.0,50.0
95,11912373,888185325,6,1990,1990,3,3.0,6.0
96,11912373,1333370159,18,1990,1990,3,9.0,18.0
97,12057038,12057038,28,1990,1990,5,7.833333333333333,22.0
98,12057038,47838141,24,1990,1990,6,6.833333333333333,16.0
99,12057038,63966007,8,1990,1990,1,1.1428571428571426,2.6666666666666665
100,12057038,136199984,4,1990,1990,1,0.5714285714285714,1.3333333333333333
101,12097938,1301710604,1,1990,1990,1,1.0,1.0
102,12315562,66958751,40,1990,1990,2,8.000000000000002,40.0
103,12559833,136199984,1,1990,1990,1,1.0,1.0
104,12834331,12834331,66,1990,1990,14,25.6,62.0
105,12834331,1280536761,14,1990,1990,5,6.500000000000001,9.5
106,12834331,1319063186,11,1990,1990,3,4.333333333333333,6.0
107,12912129,1174212,4,1990,1990,1,2.0,4.0
108,12912129,12912129,1143,1990,1990,30,50.98721931269606,158.34790209790194
109,12912129,17301866,20,1990,1990,5,2.7634408602150535,3.4166666666666665
110,12912129,20089843,975,1990,1990,19,30.48913216713612,96.50437062937056
111,12912129,27837315,984,1990,1990,19,29.585906360684504,96.25437062937056
112,12912129,36258959,755,1990,1990,19,15.809787035694892,69.08420745920746
113,12912129,40347166,397,1990,1990,9,25.32161148951901,47.71794871794867
114,12912129,63966007,2992,1990,1990,19,87.64526075518242,291.0769230769267
115,12912129,66946132,420,1990,1990,9,26.50852737736948,50.2564102564102
116,12912129,74973139,1022,1990,1990,30,34.80172408158404,102.78758741258726
117,12912129,103163165,335,1990,1990,11,18.57727788828082,40.923076923076806
118,12912129,103635307,492,1990,1990,9,31.03442631606743,58.871794871794805
119,12912129,122411786,904,1990,1990,19,31.50747223964122,91.62558275058277
120,12912129,126452172,144,1990,1990,3,9.016949152542423,17.230769230769198
121,12912129,130701444,4,1990,1990,1,4.0,4.0
122,12912129,135310074,735,1990,1990,11,37.87475951709966,87.32051282051346
123,12912129,136199984,491,1990,1990,22,22.520655964964103,77.04195804195804
124,12912129,145311948,589,1990,1990,21,22.527655409047078,60.78088578088575
125,12912129,173911158,231,1990,1990,5,11.73376331183446,25.461538461538424
126,12912129,177328695,413,1990,1990,19,12.229879235035334,40.24504662004658
