AffiliationId,Rank,NormalizedName,DisplayName,GridId,OfficialPage,WikiPage,PaperCount,PaperFamilyCount,CitationCount,Iso3166Code,Latitude,Longitude,CreatedDate
166545265,12807,plug power,Plug Power,null,http://www.plugpower.com/,http://en.wikipedia.org/wiki/Plug_Power,204,204,4013,US,42.76477,-73.81581,2016-06-24
169460710,15765,motion picture association of america,Motion Picture Association of America,null,http://www.mpaa.org/,http://en.wikipedia.org/wiki/Motion_Picture_Association_of_America,16,16,345,US,34.1552,-118.47216,2016-06-24
178557175,14113,penn state brandywine,Penn State Brandywine,grid.447415.7,http://brandywine.psu.edu/,http://en.wikipedia.org/wiki/Penn_State_Brandywine,163,162,795,US,39.9274,-75.4481,2016-06-24
182705535,14495,texas education agency,Texas Education Agency,grid.467891.5,http://www.tea.texas.gov/,http://en.wikipedia.org/wiki/Texas_Education_Agency,48,48,1500,US,30.279093,-97.73799,2016-06-24
197966552,15083,bard graduate center,Bard Graduate Center,null,http://www.bgc.bard.edu/,http://en.wikipedia.org/wiki/Bard_Graduate_Center,67,67,101,US,42.020817,-73.916985,2016-06-24
207969104,16989,poynter institute,Poynter Institute,grid.475618.9,http://www.poynter.org/,http://en.wikipedia.org/wiki/Poynter_Institute,8,8,55,US,27.761965,-82.63726,2016-06-24
253846654,9977,u s steel,U.S. Steel,null,http://www.ussteel.com/,http://en.wikipedia.org/wiki/U.S._Steel,3914,3909,46202,US,40.44117,-79.995674,2016-06-24
257133378,13012,twin disc,Twin Disc,null,http://www.twindisc.com/,http://en.wikipedia.org/wiki/Twin_Disc,147,147,1685,US,42.71652,-87.79388,2016-06-24
865206517,14345,friends of cancer research,Friends of Cancer Research,grid.428652.f,http://www.focr.org/,http://en.wikipedia.org/wiki/Friends_of_Cancer_Research,57,57,928,US,38.89037,-77.03196,2016-06-24
930655367,12521,safety pharmacology society,Safety Pharmacology Society,null,http://www.safetypharmacology.org/,http://en.wikipedia.org/wiki/Safety_Pharmacology_Society,421,421,7995,US,38.95968,-77.35454,2016-06-24
1288882113,6039,boston children s hospital,Boston Children's Hospital,grid.2515.3,http://www.childrenshospital.org/,http://en.wikipedia.org/wiki/Boston_Children's_Hospital,218185,216741,5105082,US,42.33727,-71.106,2016-06-24
1289835202,14404,blue shield of california,Blue Shield of California,null,http://www.blueshieldca.com/,http://en.wikipedia.org/wiki/Blue_Shield_of_California,54,54,993,US,37.79169,-122.396484,2016-06-24
1298563314,14313,actionaid,ActionAid,grid.479116.c,http://www.actionaid.org/,http://en.wikipedia.org/wiki/ActionAid,91,88,874,US,38.902145,-77.03272,2016-06-24
1334636312,10974,colorado department of public health and environment,Colorado Department of Public Health and Environment,grid.410375.4,http://colorado.gov/cdphe,http://en.wikipedia.org/wiki/Colorado_Department_of_Public_Health_and_Environment,686,686,36883,US,39.70483,-104.93742,2016-06-24
1341575764,10622,federal reserve bank of minneapolis,Federal Reserve Bank of Minneapolis,null,https://www.minneapolisfed.org/,http://en.wikipedia.org/wiki/Federal_Reserve_Bank_of_Minneapolis,807,670,58385,US,44.98445,-93.26738,2016-06-24
